"","SITE_ID","VISIT_ID","DATE_COL","NH4N_PPM","NO3N_PPM","NTL_PPM","PTL_PPB","CHLA_PPB","DOC_PPM","DIN_PPM","VISIT_NO","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","ECO_REG","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PTL_COND","NTL_COND","CHLA_COND","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME"
"1","NLA06608-0001",7468,2007-07-31,0.01,0.131,0.151,6,0.24,0.63,0.141,1,"PROB_Lake",-114.0218399,48.97902855,"Region_8",7.59453197,"NO","WMT","NATURAL",66.2930555,1605.73,10010001,"NLA_MT-10001","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",55.6511989445515,1.07803241236525e-05,7.13928749910759e-07,9.35246662383094e-06,1.9371234273665e-07,5.24562864279767e-05,1.00663953737417e-05,"Western Mountains"
"2","NLA06608-0002",7469,2007-06-14,0.019,0.005,0.695,36,3.84,14.02,0.024,1,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",42.690489256582,4.96180481187977e-05,1.35646462483044e-06,3.56964374955379e-07,1.1622740564199e-06,0.00116736053288926,1.71342899978582e-06,"Coastal Plains"
"3","NLA06608-0002",7470,2007-07-23,0.0095,0.0085,0.488,23.5,20.4665,13.745,0.018,2,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",45.919884601845,3.4839722995645e-05,6.78232312415221e-07,6.06839437424145e-07,7.58706675718546e-07,0.00114446294754371,1.28507174983937e-06,"Coastal Plains"
"4","NLA06608-0003",7471,2007-08-29,0.005,0.005,0.738,43,16.96,6,0.01,1,"PROB_Lake",-97.85986605,28.04774206,"Region_6",210.5049403,"YES","CPL","NATURAL",5.701736559,17.6,12110111,"NLA_TX-10010","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",37.9521806447673,5.2687941743414e-05,3.56964374955379e-07,3.56964374955379e-07,1.38827178961266e-06,0.000499583680266445,7.13928749910759e-07,"Coastal Plains"
"5","NLA06608-0003",7472,2007-09-06,0.011,0.005,0.843,50,12.864,5.87,0.016,2,"PROB_Lake",-97.85986605,28.04774206,"Region_6",210.5049403,"YES","CPL","NATURAL",5.701736559,17.6,12110111,"NLA_TX-10010","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",37.2826177829856,6.0184193617477e-05,7.85321624901835e-07,3.56964374955379e-07,1.61426952280542e-06,0.000488759367194005,1.14228599985721e-06,"Coastal Plains"
"6","NLA06608-0004",7473,2007-07-10,0.024,0.005,0.344,18,4.6,8,0.029,1,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",42.2605131057963,2.45591489969301e-05,1.71342899978582e-06,3.56964374955379e-07,5.8113702820995e-07,0.000666111573688593,2.0703933747412e-06,"Western Mountains"
"7","NLA06608-0004",7474,2007-09-11,0.017,0.0025,0.59,45,13.57,7.86,0.0195,2,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","3:MOST DISTURBED",28.992677595837,4.21217962447348e-05,1.21367887484829e-06,1.7848218747769e-07,1.45284257052487e-06,0.000654454621149043,1.39216106232598e-06,"Western Mountains"
"8","NLA06608-0005",7475,2007-07-18,0.005,0.005,0.085,4,1.205,1.45,0.01,1,"PROB_Lake",-114.8403862,43.92920926,"Region_10",15.02738514,"NO","WMT","NATURAL",19.48761255,2138,17060201,"NLA_ID-10004","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",46.9902507644392,6.06839437424145e-06,3.56964374955379e-07,3.56964374955379e-07,1.29141561824433e-07,0.000120732722731057,7.13928749910759e-07,"Western Mountains"
"9","NLA06608-0005",7476,2007-08-22,0.0035,0.0025,0.058,2.5,0.4265,1.35,0.006,2,"PROB_Lake",-114.8403862,43.92920926,"Region_10",15.02738514,"NO","WMT","NATURAL",19.48761255,2138,17060201,"NLA_ID-10004","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",51.302297305176,4.1407867494824e-06,2.49875062468766e-07,1.7848218747769e-07,8.07134761402708e-08,0.00011240632805995,4.28357249946455e-07,"Western Mountains"
"10","NLA06608-0006",7477,2007-07-17,0.016,0.005,0.184,7,4.08,3.16,0.021,1,"PROB_Lake",-73.1465177,41.68314624,"Region_1",19.57749882,"YES","NAP","MAN-MADE",56.19974819,198.75,1100005,"NLA_CT-10001","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",58.1257555674408,1.3136288998358e-05,1.14228599985721e-06,3.56964374955379e-07,2.25997733192758e-07,0.000263114071606994,1.49925037481259e-06,"Northern Appalachians"
