"","X","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","DOC_PPM","NO3N_PPM","CHLA_PPB","NTL_PPM","NH4N_PPM","PTL_PPB","DIN_PPM","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PCT_DEVELOPED_BSN","PCT_AGRIC_BSN","PTL_COND","NTL_COND","CHLA_COND","REFERENCE"
"1",1,2010177,"NLA17_NV-10018",1,"2017-05-30",7.72,0.1623,5.19,1.343,0.599,92.325,0.7613,"PROB","XER","Xeric",-119.7789,39.54188,"Region_09",6.532128325,"Urban","MAN_MADE",7.933418,1353,16050102,"NLA_NV-10109",32.1666271141355,0.0000958806311130149,0.0000427643321196545,0.0000115870636110516,0.0000029807486738602,0.000642797668609492,0.0000543513957307061,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","MESOTROPHIC (2-7 ug/L)",81.589884679,0,"Poor","Poor","Good",NA
"2",2,2010178,"NLA17_NV-10036",1,"2017-05-31",7.12,0.0196,12.16,0.9,0.027,234.695,0.0466,"PROB","XER","Xeric",-119.7898,39.4578,"Region_09",15.19126674,"Urban","MAN_MADE",2.288759,1371,16050102,"NLA_NV-10178",8.47983692236262,0.0000642535874919683,0.00000192760762475905,0.00000139930034982509,0.00000757721971309634,0.000592839300582848,0.00000332690797458414,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",64.20664207,0,"Poor","Fair","Poor",NA
"3",3,2010179,"NLA17_ND-10011",1,"2017-06-01",27.17,0.0507,6.14,2.75,0.014,63.3475,0.0647,"PROB","NPL","Northern Plains",-99.77111,47.17341,"Region_08",25.38016783,"Non-Urban","NATURAL",35.57998,540,10130103,"NLA_ND-10100",95.995757928853,0.000196330406225459,0.000000999500249875062,0.00000361961876204755,0.00000204519877191832,0.00226228143213988,0.00000461911901192261,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","MESOTROPHIC (2-7 ug/L)",3.853144311,33.76953835,"Fair","Poor","Good",NA
"4",4,2010180,"NLA17_NV-10242",1,"2017-06-01",62.55,1.0637,0.6,2.323,0.086,700.47,1.1497,"PROB","XER","Xeric",-118.7144,38.69493,"Region_09",5.397955312,"Non-Urban","NATURAL",14378.43,1206,16050304,"NLA_NV-10066",7.33345275068537,0.000165845648604269,0.00000613978724923253,0.0000759406011280074,0.0000226149474527902,0.00520815986677768,0.00008208038837724,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)",1.185893868,3.393626885,"Poor","Poor","Good",NA
"5",5,2010181,"NLA17_OH-10016",1,"2017-06-01",6.92,0.0995,305.28,1.735,0.051,170.41125,0.1505,"PROB","NAP","Northern Appalachians",-81.17701,41.49185,"Region_05",128.2437846,"Urban","MAN_MADE",1.196706,348,4110003,"NLA_OH-10072",22.5138643622212,0.000123866638109517,0.00000364103662454487,0.00000710359106161205,0.00000550179374436349,0.000576186511240633,0.0000107446276861569,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",36.330049262,18.84236453,"Poor","Poor","Poor",NA
"6",6,2010182,"NLA17_TN-10003",1,"2017-06-02",3.9,0,52.16,1.278,0.011,463.12625,0.011,"PROB","SAP","Southern Appalachians",-87.03213,35.67353,"Region_04",49.23238577,"Urban","MAN_MADE",33.43314,192,7010105,"NLA_TN-10029",6.10211354597441,0.000091240094238595,0.000000785321624901835,0,0.0000149522118117232,0.000324729392173189,0.000000785321624901835,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",0,50.95759234,"Poor","Poor","Poor",NA
"7",7,2010183,"NLA17_AZ-10004",1,"2017-06-01",10.59,0,2.64,0.615,0.019,192.115,0.019,"PROB","WMT","Western Mountains",-112.4386,34.60431,"Region_09",2.978293527,"Urban","MAN_MADE",119.1798,1567,15060202,"NLA_AZ-10008",7.07884933384082,0.0000439066181195117,0.00000135646462483044,0,0.00000620250778747525,0.000881765195670275,0.00000135646462483044,"HYPEREUTROPHIC (> 100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)",26.404949447,0,"Poor","Poor","Fair",NA
"8",8,2010184,"NLA17_MI-10011",1,"2017-06-05",5.29,0.0011,2.74,0.52,0.019,12.9225,0.0201,"PROB","UMW","Upper Midwest",-86.14407,43.37318,"Region_05",247.1927677,"Urban","NATURAL",20.79842,198,4090005,"NLA_MI-10091",88.9827105846242,0.0000371242949953595,0.00000135646462483044,0.0000000785321624901835,0.00000041720795816906,0.000440466278101582,0.00000143499678732063,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)",12.71989175,0,"Good","Good","Good",NA
"9",9,2010185,"NLA17_ND-10015",1,"2017-06-05",17.13,0,9.34,1.866,0.019,49.725,0.019,"PROB","NPL","Northern Plains",-99.73059,47.08001,"Region_08",137.7322426,"Non-Urban","NATURAL",7.124819,529,10130103,"NLA_ND-10085",82.9823397405198,0.000133219104733348,0.00000135646462483044,0,0.00000160539104042999,0.0014263114071607,0.00000135646462483044,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)",3.682170543,14.92248062,"Good","Poor","Good",NA
"10",10,2010186,"NLA17_CA-10064",1,"2017-06-05",4,2.1821,9.95,0.701,0.034,362.0075,2.2161,"PROB","XER","Xeric",-122.5184,38.08325,"Region_09",8.765044119,"Urban","MAN_MADE",40.65087,1,18050002,"NLA_CA-10183",4.28202578329706,0.0000500464053687442,0.00000242735774969658,0.000155786392518027,0.0000116875534855396,0.000333055786844296,0.000158213750267723,"HYPEREUTROPHIC (> 100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",30.263702457,3.681839124,"Poor","Fair","Poor",NA
"11",11,2010187,"NLA17_KY-10001",1,"2017-06-06",1.98,0.0008,2.2,0.121,0.005,5.91625,0.0058,"PROB","SAP","Southern Appalachians",-83.70503,36.68168,"Region_04",8.436928876,"Urban","MAN_MADE",90.55715,390,5120113,"NLA_KY-10003",45.2259482133975,0.00000863853787392018,0.000000356964374955379,0.0000000571142999928607,0.000000191008441285951,0.000164862614487927,0.00000041407867494824,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)",3.178817996,0,"Good","Good","Good","Y"
"12",12,2010188,"NLA17_ND-10008",1,"2017-06-06",27.45,0.1936,26.4,3.174,0.108,207.63875,0.3016,"PROB","NPL","Northern Plains",-100.3903,47.27222,"Region_08",16.53898413,"Non-Urban","NATURAL",198.355,587,10130101,"NLA_ND-10091",33.8023850787412,0.000226600985221675,0.0000077104304990362,0.0000138216605982723,0.00000670369811756826,0.00228559533721898,0.0000215320910973085,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)",1.893430564,24.92803684,"Poor","Poor","Poor",NA
"13",13,2010189,"NLA17_TX-10001",1,"2017-06-06",5.76,0.1997,22.77,1.074,0.031,134.5625,0.2307,"PROB","SPL","Southern Plains",-96.45375,32.94443,"Region_06",169.1976536,"Urban","MAN_MADE",13.83962,145,12030106,"NLA_TX-10054",17.6493640968525,0.0000766759477404155,0.00000221317912472335,0.0000142571571357179,0.00000434440285325008,0.000479600333055787,0.0000164703362604412,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",46.884336322,22.506757716,"Poor","Poor","Poor",NA
"14",14,2010190,"NLA17_KS-10005",1,"2017-06-06",7.15,0,21.44,0.959,0.018,66.83625,0.018,"PROB","TPL","Temperate Plains",-95.04207,39.34876,"Region_07",326.258219,"Urban","MAN_MADE",4.302133,288,10240011,"NLA_KS-10045",31.7289251816965,0.0000684657671164418,0.00000128507174983937,0,0.00000215783442787207,0.00059533721898418,0.00000128507174983937,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",5.437352246,44.385342792,"Poor","Fair","Poor",NA
"15",15,2010191,"NLA17_NV-10002",1,"2017-06-06",6.64,0,1.26,0.61,0.013,17.75,0.013,"PROB","XER","Xeric",-115.1171,38.39816,"Region_09",2.649560151,"Non-Urban","MAN_MADE",72.28422,1575,15010011,"NLA_NV-10007",75.9941752213632,0.0000435496537445563,0.000000928107374883987,0,0.000000573065680595923,0.000552872606161532,0.000000928107374883987,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","OLIGOTROPHIC (<= 2 ug/L)",0,0.301971072,"Good","Fair","Good",NA
"16",16,2010192,"NLA17_NV-10006",1,"2017-06-05",1.32,0,2.75,0.165,0.005,21.74875,0.005,"PROB","XER","Xeric",-117.1657,39.24104,"Region_09",6.532128325,"Non-Urban","MAN_MADE",5.804787,2255,16060004,"NLA_NV-10112",16.7763883682456,0.0000117798243735275,0.000000356964374955379,0,0.000000702166885682286,0.000109908409658618,0.000000356964374955379,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)",0,0,"Good","Good","Good","Y"
"17",17,2010193,"NLA17_KY-10006",1,"2017-06-07",3.33,0.0022,16.88,0.386,0.011,16.17625,0.0132,"PROB","SAP","Southern Appalachians",-84.67911,37.48693,"Region_04",15.70643045,"Urban","MAN_MADE",14.35252,323,5100205,"NLA_KY-10045",52.7664993106591,0.0000275576497465553,0.000000785321624901835,0.000000157064324980367,0.000000522256547365622,0.000277268942547877,0.000000942385949882202,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",0.823045267,3.621399177,"Good","Fair","Poor",NA
"18",18,2010194,"NLA17_TX-10019",1,"2017-06-07",7.78,0.0007,13.18,0.966,0.015,53.165,0.0157,"PROB","SPL","Southern Plains",-96.7321,32.0567,"Region_06",185.4062626,"Non-Urban","MAN_MADE",5.472042,160,12030108,"NLA_TX-10181",40.1790937102125,0.0000689655172413793,0.00000107089312486614,0.0000000499750124937531,0.000001716452783599,0.000647793505412157,0.00000112086813735989,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",2.200488998,50.45565681,"Poor","Poor","Poor",NA
"19",19,2010195,"NLA17_TN-10004",1,"2017-06-07",3.89,0.0051,64,1.138,0.014,48.5825,0.0191,"PROB","SAP","Southern Appalachians",-86.91358,36.30417,"Region_04",49.23238577,"Urban","MAN_MADE",25.1163,197,5060002,"NLA_TN-10040",51.7977900490015,0.0000812450917398444,0.000000999500249875062,0.000000364103662454487,0.00000156850498183388,0.000323896752706078,0.00000136360391232955,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",5.908109775,18.40888067,"Poor","Poor","Poor",NA
"20",20,2010196,"NLA17_MO-HP002",1,"2017-06-07",6.43,0.0012,2.88,0.691,0.022,25.2025,0.0232,"HAND","TPL","Temperate Plains",-94.03102,40.3133,"Region_07",0,"Non-Urban","MAN_MADE",20.95756,280.45,10280101,"NLA_MO-10087",60.6293974630948,0.0000493324766188334,0.00000157064324980367,0.0000000856714499892911,0.00000081367255297007,0.000535387177352207,0.00000165631469979296,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)",7.161961367,57.057949478,"Good","Good","Good","Y"
"21",21,2010197,"NLA17_IA-HP002",1,"2017-06-07",6.49,0,1.79,0.495,0.02,11.1925,0.02,"HAND","TPL","Temperate Plains",-93.772298,40.596744,"Region_07",0,"Non-Urban","MAN_MADE",28.36682,285.83,10280102,"NLA_IA-10042",97.7973133412234,0.0000353394731205826,0.00000142785749982152,0,0.000000361354232679992,0.000540383014154871,0.00000142785749982152,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","OLIGOTROPHIC (<= 2 ug/L)",5.279065082,6.246222043,"Good","Good","Good","Y"
"22",22,2010198,"NLA17_ND-10035",1,"2017-06-07",27.05,0.1826,66.8,5.156,0.037,266.94625,0.2196,"PROB","NPL","Northern Plains",-99.48298,46.3599,"Region_08",24.88253601,"Non-Urban","NATURAL",32.50486,600,10130104,"NLA_ND-10155",42.7108203051801,0.000368101663453987,0.00000264153637466981,0.0000130363389733705,0.00000861846391204391,0.00225228975853455,0.0000156778753480403,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",1.015008659,2.429286127,"Poor","Poor","Poor",NA
"23",23,2010199,"NLA17_ND-10004",1,"2017-06-07",25.2,0.1655,87.2,5.294,0.039,523.64125,0.2045,"PROB","NPL","Northern Plains",-99.51996,46.36831,"Region_08",16.58353078,"Non-Urban","NATURAL",103.3136,600,10130104,"NLA_ND-10002",22.3562477776928,0.000377953880202756,0.00000278432212465196,0.0000118155208110231,0.0000169059622151746,0.00209825145711907,0.000014599842935675,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",2.740416441,26.72940362,"Poor","Poor","Poor",NA
"24",24,2010200,"NLA17_GA-10002",1,"2017-06-07",12.45,0.0008,67.73,1.37,0.024,182.45,0.0248,"PROB","CPL","Coastal Plains",-81.89276,33.29943,"Region_04",368.3207443,"Urban","NATURAL",5.011123,31,3060106,"NLA_GA-10018",16.6044894936003,0.000097808238737774,0.00000171342899978582,0.0000000571142999928607,0.00000589046948871696,0.00103663613655287,0.00000177054329977868,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",3.760114231,0,"Poor","Poor","Poor",NA
"25",25,2010201,"NLA17_KS-10001",1,"2017-06-07",8.54,1.3966,9.76,2.813,0.101,498.325,1.4976,"PROB","SPL","Southern Plains",-97.37486,39.3321,"Region_07",16.78702206,"Non-Urban","MAN_MADE",10.23476,415,10250017,"NLA_KS-10021",12.482623886525,0.000200828157349896,0.00000721068037409867,0.0000997072892125366,0.0000160886171990402,0.000711074104912573,0.000106917969586635,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)",1.968503937,41.27296588,"Poor","Poor","Fair",NA
"26",26,2010202,"NLA17_SD-10020",1,"2017-06-07",10.78,0,59.36,2.8,0.02,255.39,0.02,"PROB","NPL","Northern Plains",-99.31405,44.47741,"Region_08",149.9265215,"Non-Urban","MAN_MADE",4.904037,590,10140103,"NLA_SD-10107",24.2439272145125,0.000199900049975012,0.00000142785749982152,0,0.00000824536586858551,0.000897585345545379,0.00000142785749982152,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",1.577158396,3.698164514,"Poor","Poor","Poor",NA
"27",27,2010203,"NLA17_KS-10028",1,"2017-06-08",7.65,3.302,18.68,5.056,0.044,99.48,3.346,"PROB","TPL","Temperate Plains",-96.55958,39.83551,"Region_07",542.8919269,"Urban","MAN_MADE",1.463176,395,10270205,"NLA_KS-10085",112.388045064928,0.00036096237595488,0.00000314128649960734,0.000235739273220533,0.00000321175064257366,0.000636969192339717,0.00023888055972014,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)",5.974842767,50,"Poor","Poor","Fair",NA
"28",28,2010204,"NLA17_NV-10016",1,"2017-06-07",6.46,0,2.47,0.629,0.019,36.98625,0.019,"PROB","XER","Xeric",-114.2679,37.90785,"Region_09",7.404893297,"Non-Urban","MAN_MADE",23.50032,1604,15010013,"NLA_NV-10064",37.6061758796147,0.0000449061183693867,0.00000135646462483044,0,0.00000119411552275724,0.000537885095753539,0.00000135646462483044,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)",0.087139079,0.752091975,"Good","Fair","Good",NA
"29",29,2010205,"NLA17_NV-10239",1,"2017-06-08",2.5,0.3162,1.55,0.449,0.007,44.10625,0.3232,"PROB","XER","Xeric",-114.4095,36.50496,"Region_09",1.630095905,"Non-Urban","MAN_MADE",10.91071,366,15010005,"NLA_NV-10094",22.5110127777497,0.0000320554008709931,0.000000499750124937531,0.0000225744270721782,0.00000142398750280473,0.000208159866777685,0.0000230741771971157,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","OLIGOTROPHIC (<= 2 ug/L)",0,0,"Fair","Good","Good",NA
"30",30,2010206,"NLA17_TX-HP003",1,"2017-06-08",7.64,0,26.27,0.875,0.013,43.31875,0.013,"HAND","CPL","Coastal Plains",-95.92578522,33.7351029,"Region_06",0,"Non-Urban","MAN_MADE",143.5869,153.02,11140101,"NLA_TX-10096",44.6664014667028,0.0000624687656171914,0.000000928107374883987,0,0.00000139856275782054,0.000636136552872606,0.000000928107374883987,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",5.480619919,19.72414213,"Fair","Fair","Fair",NA
"31",31,2010207,"NLA17_TN-10001",1,"2017-06-08",2.97,0.0707,114.05,1.445,0.016,409.8625,0.0867,"PROB","SAP","Southern Appalachians",-86.3815,35.37137,"Region_04",49.78187904,"Urban","MAN_MADE",12.42384,265,7010203,"NLA_TN-10017",7.79611955712432,0.000103162704362105,0.00000114228599985721,0.00000504747626186907,0.0000132325708458167,0.00024729392173189,0.00000618976226172628,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",4.468349193,40.752999583,"Poor","Poor","Poor",NA
