"","SITE_ID","VISIT_ID","DATE_COL","NTL_PPM","PTL_PPB","VISIT_NO","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","ECO_REG","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PTL_COND","NTL_COND","CHLA_COND","tn.tp","TN_mol","TP_mol"
"1","NLA06608-0001",7468,"7/31/2007",0.151,6,1,"PROB_Lake",-114.0218399,48.97902855,"Region_8",7.59453197,"NO","WMT","NATURAL",66.2930555,1605.73,10010001,"NLA_MT-10001","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",55.6511989445515,1.07803241236525e-05,1.9371234273665e-07
"2","NLA06608-0002",7469,"6/14/2007",0.695,36,1,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",42.690489256582,4.96180481187977e-05,1.1622740564199e-06
"3","NLA06608-0002",7470,"7/23/2007",0.488,23.5,2,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",45.919884601845,3.4839722995645e-05,7.58706675718546e-07
"4","NLA06608-0003",7471,"8/29/2007",0.738,43,1,"PROB_Lake",-97.85986605,28.04774206,"Region_6",210.5049403,"YES","CPL","NATURAL",5.701736559,17.6,12110111,"NLA_TX-10010","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",37.9521806447673,5.2687941743414e-05,1.38827178961266e-06
"5","NLA06608-0003",7472,"9/6/2007",0.843,50,2,"PROB_Lake",-97.85986605,28.04774206,"Region_6",210.5049403,"YES","CPL","NATURAL",5.701736559,17.6,12110111,"NLA_TX-10010","3: EUTROPHIC (>25-50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",37.2826177829856,6.0184193617477e-05,1.61426952280542e-06
"6","NLA06608-0004",7473,"7/10/2007",0.344,18,1,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",42.2605131057963,2.45591489969301e-05,5.8113702820995e-07
"7","NLA06608-0004",7474,"9/11/2007",0.59,45,2,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","3:MOST DISTURBED","3:MOST DISTURBED","3:MOST DISTURBED",28.992677595837,4.21217962447348e-05,1.45284257052487e-06
"8","NLA06608-0005",7475,"7/18/2007",0.085,4,1,"PROB_Lake",-114.8403862,43.92920926,"Region_10",15.02738514,"NO","WMT","NATURAL",19.48761255,2138,17060201,"NLA_ID-10004","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",46.9902507644392,6.06839437424145e-06,1.29141561824433e-07
"9","NLA06608-0005",7476,"8/22/2007",0.058,2.5,2,"PROB_Lake",-114.8403862,43.92920926,"Region_10",15.02738514,"NO","WMT","NATURAL",19.48761255,2138,17060201,"NLA_ID-10004","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",51.302297305176,4.1407867494824e-06,8.07134761402708e-08
"10","NLA06608-0006",7477,"7/17/2007",0.184,7,1,"PROB_Lake",-73.1465177,41.68314624,"Region_1",19.57749882,"YES","NAP","MAN-MADE",56.19974819,198.75,1100005,"NLA_CT-10001","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",58.1257555674408,1.3136288998358e-05,2.25997733192758e-07
