"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","NTL_PPM","PTL_PPB","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","TP_mol"
"1",2010177,"NLA17_NV-10018",1,"30-May-17",1.343,92.325,"PROB","XER","Xeric",-119.7789,39.54188,"Region_09",6.532128325,"Urban","MAN_MADE",7.933418,1353,"H16050102","NLA_NV-10109",32.1666271141355,9.58806311130149e-05,2.9807486738602e-06
"2",2010178,"NLA17_NV-10036",1,"31-May-17",0.9,234.695,"PROB","XER","Xeric",-119.7898,39.4578,"Region_09",15.19126674,"Urban","MAN_MADE",2.288759,1371,"H16050102","NLA_NV-10178",8.47983692236262,6.42535874919683e-05,7.57721971309634e-06
"3",2010179,"NLA17_ND-10011",1,"1-Jun-17",2.75,63.3475,"PROB","NPL","Northern Plains",-99.77111,47.17341,"Region_08",25.38016783,"Non-Urban","NATURAL",35.57998,540,"H10130103","NLA_ND-10100",95.995757928853,0.000196330406225459,2.04519877191832e-06
"4",2010180,"NLA17_NV-10242",1,"1-Jun-17",2.323,700.47,"PROB","XER","Xeric",-118.7144,38.69493,"Region_09",5.397955312,"Non-Urban","NATURAL",14378.43,1206,"H16050304","NLA_NV-10066",7.33345275068537,0.000165845648604269,2.26149474527902e-05
"5",2010181,"NLA17_OH-10016",1,"1-Jun-17",1.735,170.41125,"PROB","NAP","Northern Appalachians",-81.17701,41.49185,"Region_05",128.2437846,"Urban","MAN_MADE",1.196706,348,"H04110003","NLA_OH-10072",22.5138643622212,0.000123866638109517,5.50179374436349e-06
"6",2010182,"NLA17_TN-10003",1,"2-Jun-17",1.278,463.12625,"PROB","SAP","Southern Appalachians",-87.03213,35.67353,"Region_04",49.23238577,"Urban","MAN_MADE",33.43314,192,"H07010105","NLA_TN-10029",6.10211354597441,9.1240094238595e-05,1.49522118117232e-05
"7",2010183,"NLA17_AZ-10004",1,"1-Jun-17",0.615,192.115,"PROB","WMT","Western Mountains",-112.4386,34.60431,"Region_09",2.978293527,"Urban","MAN_MADE",119.1798,1567,"H15060202","NLA_AZ-10008",7.07884933384082,4.39066181195117e-05,6.20250778747525e-06
"8",2010184,"NLA17_MI-10011",1,"5-Jun-17",0.52,12.9225,"PROB","UMW","Upper Midwest",-86.14407,43.37318,"Region_05",247.1927677,"Urban","NATURAL",20.79842,198,"H04090005","NLA_MI-10091",88.9827105846242,3.71242949953595e-05,4.1720795816906e-07
"9",2010185,"NLA17_ND-10015",1,"5-Jun-17",1.866,49.725,"PROB","NPL","Northern Plains",-99.73059,47.08001,"Region_08",137.7322426,"Non-Urban","NATURAL",7.124819,529,"H10130103","NLA_ND-10085",82.9823397405198,0.000133219104733348,1.60539104042999e-06
"10",2010186,"NLA17_CA-10064",1,"5-Jun-17",0.701,362.0075,"PROB","XER","Xeric",-122.5184,38.08325,"Region_09",8.765044119,"Urban","MAN_MADE",40.65087,1,"H18050002","NLA_CA-10183",4.28202578329706,5.00464053687442e-05,1.16875534855396e-05
"11",2010187,"NLA17_KY-10001",1,"6-Jun-17",0.121,5.91625,"PROB","SAP","Southern Appalachians",-83.70503,36.68168,"Region_04",8.436928876,"Urban","MAN_MADE",90.55715,390,"H05120113","NLA_KY-10003",45.2259482133975,8.63853787392018e-06,1.91008441285951e-07
"12",2010188,"NLA17_ND-10008",1,"6-Jun-17",3.174,207.63875,"PROB","NPL","Northern Plains",-100.3903,47.27222,"Region_08",16.53898413,"Non-Urban","NATURAL",198.355,587,"H10130101","NLA_ND-10091",33.8023850787412,0.000226600985221675,6.70369811756826e-06
"13",2010189,"NLA17_TX-10001",1,"6-Jun-17",1.074,134.5625,"PROB","SPL","Southern Plains",-96.45375,32.94443,"Region_06",169.1976536,"Urban","MAN_MADE",13.83962,145,"H12030106","NLA_TX-10054",17.6493640968525,7.66759477404155e-05,4.34440285325008e-06
"14",2010190,"NLA17_KS-10005",1,"6-Jun-17",0.959,66.83625,"PROB","TPL","Temperate Plains",-95.04207,39.34876,"Region_07",326.258219,"Urban","MAN_MADE",4.302133,288,"H10240011","NLA_KS-10045",31.7289251816965,6.84657671164418e-05,2.15783442787207e-06
"15",2010191,"NLA17_NV-10002",1,"6-Jun-17",0.61,17.75,"PROB","XER","Xeric",-115.1171,38.39816,"Region_09",2.649560151,"Non-Urban","MAN_MADE",72.28422,1575,"H15010011","NLA_NV-10007",75.9941752213632,4.35496537445563e-05,5.73065680595923e-07
"16",2010192,"NLA17_NV-10006",1,"5-Jun-17",0.165,21.74875,"PROB","XER","Xeric",-117.1657,39.24104,"Region_09",6.532128325,"Non-Urban","MAN_MADE",5.804787,2255,"H16060004","NLA_NV-10112",16.7763883682456,1.17798243735275e-05,7.02166885682286e-07
"17",2010193,"NLA17_KY-10006",1,"7-Jun-17",0.386,16.17625,"PROB","SAP","Southern Appalachians",-84.67911,37.48693,"Region_04",15.70643045,"Urban","MAN_MADE",14.35252,323,"H05100205","NLA_KY-10045",52.7664993106591,2.75576497465553e-05,5.22256547365622e-07
"18",2010194,"NLA17_TX-10019",1,"7-Jun-17",0.966,53.165,"PROB","SPL","Southern Plains",-96.7321,32.0567,"Region_06",185.4062626,"Non-Urban","MAN_MADE",5.472042,160,"H12030108","NLA_TX-10181",40.1790937102125,6.89655172413793e-05,1.716452783599e-06
"19",2010195,"NLA17_TN-10004",1,"7-Jun-17",1.138,48.5825,"PROB","SAP","Southern Appalachians",-86.91358,36.30417,"Region_04",49.23238577,"Urban","MAN_MADE",25.1163,197,"H05060002","NLA_TN-10040",51.7977900490015,8.12450917398444e-05,1.56850498183388e-06
"20",2010196,"NLA17_MO-HP002",1,"7-Jun-17",0.691,25.2025,"HAND","TPL","Temperate Plains",-94.03102,40.3133,"Region_07",0,"Non-Urban","MAN_MADE",20.95756,280.45,"H10280101","NLA_MO-10087",60.6293974630948,4.93324766188334e-05,8.1367255297007e-07
"21",2010197,"NLA17_IA-HP002",1,"7-Jun-17",0.495,11.1925,"HAND","TPL","Temperate Plains",-93.772298,40.596744,"Region_07",0,"Non-Urban","MAN_MADE",28.36682,285.83,"H10280102","NLA_IA-10042",97.7973133412234,3.53394731205826e-05,3.61354232679992e-07
"22",2010198,"NLA17_ND-10035",1,"7-Jun-17",5.156,266.94625,"PROB","NPL","Northern Plains",-99.48298,46.3599,"Region_08",24.88253601,"Non-Urban","NATURAL",32.50486,600,"H10130104","NLA_ND-10155",42.7108203051801,0.000368101663453987,8.61846391204391e-06
