UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,LAT_DD83,LON_DD83,XCOORD,YCOORD,AG_ECO3_NM,AG_ECO9_NM,MISS_BASIN_NM,MAJ_BAS_NM,FS_EW,EPA_REG,STRAH_CAT,NARS_OWN,NRS13_EVAL,NRS13_MDC,NRS13_PNL,NRS13_SF,NRS13_STRA,NRS13_TNT,NRS13_URBN,NRS13_VST,WGT_EXT_SP,ANC_COND,ANC,DOC,PH,SAL_COND,COND,NTL_COND,NTL_UG_L,PTL_COND,PTL,BENT_MMI_COND,MMI_BENT,OE_SCORE,OE_COND,INSTRMCVR_COND,L_XFC_NAT,BEDSED_COND,LRBS_USE,RIPDIST_COND,W1_HALL,RIPVEG_COND,L_XCMGW,FISH_MMI_COND,MMI_FISH,ENT_1X_CCE_100ML,ENT_1X_STV_COND,MICX_COND,MICX_RESULT,MICX_MDL,MICX_RL,MICX_FLAG,HG_COND,MERCURY_RESULT,MERCURY_MDL,MERCURY_RL,MERCURY_FLAG,MERCURY_DATA_FLAG,MERCURY_COMMENT,PUBLICATION_DATE
1002013,KSRS-1288,2013,1,4/30/2013,39.12843,-95.65402,29633.54,182571.8,Plains and Lowlands,Temporate Plains,Lower Missouri Region,Missouri Region,,Region_7,SmallStreams,Private,Target_Sampled,KS_RiverStream,Base_NewRiverStream,Include,KS,Target,Urban,1,341.4498869,None,4822.28,4.56,7.88,Fair,1158,Good,350,Good,59,Poor,16.45,0.409185953,OE<0.5,Good,-0.55923399,Poor,-2.989239387,High,1.606086364,Good,-0.128374001,Good,59.21,236.1891882,Below Human Health Threshold,<= 8 ug/L,0.249,,,,Not Assessed,,,,,,,4/29/2019
1002014,AZR9-0903,2013,1,5/6/2013,32.40882122,-111.1606295,-1412464.646,-456533.697,West,Xeric,,Lower Colorado Region,,Region_9,RiversOther,Private,Target_Sampled,AZ_Rivers_AZ_6th,Base_09River_RVT,Include,AZ,Target,NonUrban,2,11.64978217,None,3629.06,6.71,7.86,Poor,1218,Poor,20225,Poor,3269,Poor,11.4,0.279837816,OE<0.5,Fair,-0.663904301,Fair,-1.823081846,High,2.803054545,Fair,-0.616511048,Poor,33.19,711.8386706,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002015,AZSS-1115,2013,1,5/7/2013,34.33749,-111.0138,-1365016,-246034,West,Western Mountains,,Lower Colorado Region,West,Region_9,SmallStreams,USFS,Target_Sampled,AZ_SmallStreams_WMT,Base_NewSmallStreams,Include,AZ,Target,NonUrban,1,5.786235186,None,1571.94,1.26,7.84,Good,192.2,Good,86,Fair,18,Fair,43.67,1.263744136,O/E>=0.9,Fair,-0.520254601,Good,-0.663123451,Low,0.272727273,Good,0.074965965,Poor,56.52,70.88728112,Below Human Health Threshold,<= 8 ug/L,0.137,,0.15,L,Does Not Exceed 300 ng Hg/g ww,54.1,0.697,3.86,,,,4/29/2019
1002016,KSR9-0910,2013,1,5/6/2013,39.49523,-97.2319,-104977.1,224307.4,Plains and Lowlands,Southern Plains,Lower Missouri Region,Missouri Region,,Region_7,RiversMajor,Private,Target_Sampled,KS_Rivers_KS_7th+,Base_09River,Include,KS,Target,NonUrban,1,116.9397185,None,4437.6,5.73,8.33,Good,865,Poor,1475,Poor,311,Fair,22.4,0.939382504,O/E>=0.9,Good,-0.677780705,Fair,-2.018163888,Moderate,0.446986364,Good,-0.167200881,Poor,29.73,27.63025191,Below Human Health Threshold,<= 8 ug/L,0.152,,,,Does Not Exceed 300 ng Hg/g ww,212,2.8,15.5,,,,4/29/2019
1002017,AZLS-1055,2013,1,5/8/2013,34.86995,-112.0693,-1450079,-171643.9,West,Western Mountains,,Lower Colorado Region,,Region_9,LargeStreams,Private,Target_Sampled,AZ_LargeStreams_WMT,Base_NewLargeStreams,Include,AZ,Target,NonUrban,1,36.99076842,None,5889.98,0.75,8,Fair,529,Good,123,Fair,32,Poor,34.38,1.32908917,O/E>=0.9,Fair,-0.654550864,Poor,-1.13080704,Low,0.115384615,Good,0.144154918,Poor,51.83,206.7253981,Below Human Health Threshold,Not Detected,,0.1,,ND,Does Not Exceed 300 ng Hg/g ww,81.3,0.981,5.43,,,,4/29/2019
1002018,KSRS-1270,2013,1,5/13/2013,37.17128,-96.84909,-74683.38,-36504.41,Plains and Lowlands,Temporate Plains,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_7,LargeStreams,Private,Target_Sampled,KS_RiverStream,Base_NewRiverStream,Include,KS,Target,NonUrban,1,341.4498869,None,3929.21,2.87,8.23,Good,416,Good,309,Good,28,Poor,24.28,0.725868123,O/E<0.8,Good,-0.706938935,Good,-0.746204532,Moderate,0.878804545,Good,-0.197226275,Good,74.52,42.39255185,Below Human Health Threshold,<= 8 ug/L,0.165,,,,Does Not Exceed 300 ng Hg/g ww,241,22.9,127,,,,4/29/2019
1002019,KSS9-0933,2013,1,5/14/2013,37.84409,-96.85665,-74669.44,38899.92,Plains and Lowlands,Temporate Plains,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_7,LargeStreams,Private,Target_Sampled,KS_Streams_KS_4th5t,Base_09Stream,Include,KS,Target,NonUrban,1,1491.309785,None,4171.87,6.98,8.05,Good,756,Good,625,Good,66,Fair,31.53,1.350914603,O/E>=0.9,Good,-0.673105801,Good,-1.129487929,Moderate,1.121254545,Good,-0.134384632,Good,70.19,25.56950145,Below Human Health Threshold,<= 8 ug/L,0.101,,0.15,L,Does Not Exceed 300 ng Hg/g ww,149,0.796,4.41,,,,4/29/2019
1002021,KYRM-1006,2013,1,5/21/2013,38.51354,-85.02908,945516.6,168235.9,Eastern Highlands,Southern Appalachians,Ohio Region,Ohio-Tennessee Region,,Region_4,RiversMajor,Private,Target_Sampled,KY_RiversMajor_SAP,Base_NewRiversMajor,Include,KY,Target,NonUrban,1,147.4464971,None,1994.72,1.95,7.9,Good,315,Poor,985,Poor,104,Poor,27.8,0.493663102,OE<0.5,Fair,-0.738196627,Not Assessed,,Low,0.181818182,Good,0.147816804,Poor,24.96,31.66409391,Below Human Health Threshold,<= 8 ug/L,0.112,,0.15,L,Does Not Exceed 300 ng Hg/g ww,148,0.81,4.48,,,,4/29/2019
1002022,KSR9-0902,2013,1,5/21/2013,37.8236,-97.46279,-127534.5,37249.42,Plains and Lowlands,Southern Plains,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_7,RiversMajor,Private,Target_Sampled,KS_Rivers_KS_7th+,Base_09River,Include,KS,Target,NonUrban,1,116.9397185,None,3296.8,3.85,8.11,Poor,2360,Fair,624,Fair,65,Poor,19.3,0.860671853,O/E<0.9,Good,-0.710978911,Fair,-2.340706521,Moderate,1.111114286,Good,-0.090298128,Poor,33.85,137.5207592,Below Human Health Threshold,<= 8 ug/L,0.154,,,,Does Not Exceed 300 ng Hg/g ww,221,2.95,16.3,,,,4/29/2019
1002023,KYRM-1002,2013,1,5/22/2013,38.68588,-85.17831,930516.1,185953.5,Eastern Highlands,Southern Appalachians,Ohio Region,Ohio-Tennessee Region,,Region_4,RiversMajor,Private,Target_Sampled,KY_RiversMajor_SAP,Base_NewRiversMajor,Include,KY,Target,Urban,1,147.4464971,None,1649.69,2.59,7.88,Good,341,Poor,1140,Poor,61,Poor,3.87,0.538082076,O/E<0.8,Poor,-1.333822512,Not Assessed,,High,2.557218095,Fair,-0.092153743,Poor,34.12,44.33895782,Below Human Health Threshold,<= 8 ug/L,0.119,,0.15,L,Does Not Exceed 300 ng Hg/g ww,44.1,1.04,5.78,,,,4/29/2019
