PUBLICATION_DATE,SITE_ID,UID,VISIT_NO,DATE_COL,YEAR,SITETYPE,INDEX_VISIT,AWCH_WS,BDH_WS,BEDROCK_PERM_WS,BFI_WS,CAT_COMID,CROP_1KM_BUF,DAM_KM3WTD_200KM,ELEV_PT,ELEV_WS,ELEV_WS_MAX,ELEV_WS_MIN,ET_WS,FSTFRZ_WS,GEOL_HUNT_DOM_DESC,GEOL_HUNT_DOM_PCT,GEOL_HUNT_DOM_WS,GEOL_HUNT_PT,GEOL_REEDBUSH_DOM_PCT,GEOL_REEDBUSH_DOM_WS,GEOL_REEDBUSH_PT,KFACT_PT,KFACT_WS,LAT_DD83,LON_DD83,LSTFRZ_PT,LSTFRZ_WS,MAFLOWU,MAST_2013,MAST_2014,MAVELU,MSST_2013,MSST_2014,MWST_2013,MWST_2014,OMH_WS,PCTBL2011_WS,PCTCONIF2011_WS,PCTCROP2011_WS,PCTDECID2011_WS,PCTGRS2011_WS,PCTHAY2011_WS,PCTHBWET2011_WS,PCTICE2011_WS,PCTMXFST2011_WS,PCTOW2011_WS,PCTSHRB2011_WS,PCTURBHI2011_WS,PCTURBLO2011_WS,PCTURBMD2011_WS,PCTURBOP2011_WS,PCTWDWET2011_WS,PERDUN_WS,PERHOR_WS,PERMH_WS,PMAX_WS,PMIN_WS,PRECIP_WS,PSUM_PT,PSUM_WS,PSUMPY_2013_PT,PSUMPY_2013_WS,PSUMPY_2014_PT,PSUMPY_2014_WS,RDDENS_WS,RDH_PT,RDH_WS,REACH_COMID,RHMEAN_PT,RHMEAN_WS,RUNOFF_WS,TMAX_WS,TMEAN_WS,TMEANPW_2013_PT,TMEANPW_2013_WS,TMEANPW_2014_PT,TMEANPW_2014_WS,TMEANSS_2013_PT,TMEANSS_2013_WS,TMEANSS_2014_PT,TMEANSS_2014_WS,TMEANSY_2013_PT,TMEANSY_2013_WS,TMEANSY_2014_PT,TMEANSY_2014_WS,TMIN_PT,TMIN_WS,TOPWET_WS,URB_1KM_BUF,WDMAX_PT,WDMAX_WS,WDMIN_PT,WDMIN_WS,WDSUM_PT,WDSUM_WS,WSAREASQKM,WTDH_PT,WTDPH_WS
2/13/2019,ALLS-1037,1003816,1,6/26/2014,2014,PROB,Y,0.138427352,1.645517593,5.896287392,46.22186352,2214044,15.07566938,1.00E-04,39.06,75.94869101,106.96,38.66,848.2821007,312.3886595,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",100,rl,rl,100,SDMNTRY,SDMNTRY,0.187999994,0.231197358,31.11972146,-86.15248734,76,76.83305286,87.176,17.82948283,17.43617941,1.12655,20.05118037,20.05118037,11.40733518,11.40733518,0.532340899,0.0364061,29.28149471,9.412007144,5.157301827,4.385904657,16.51737876,0.25140816,0,7.591015249,0.694463525,17.08819893,0.013051243,0.647753812,0.111965929,5.015798873,3.795851078,6,7.667486348,4.412269489,177.7235704,80.73383934,1514.005982,1531,1544.206807,1405.266113,1375.752156,1627.386353,1635.607436,1.622599794,60,60,2214044,71,71.14491191,473.4665316,33.00390762,18.86382537,12.40470886,12.50612938,9.554086685,9.601863,26.20453072,26.3728927,26.20453072,26.3728927,18.92053413,19.03465433,18.38975334,19.00869389,2.299999952,2.510946852,494.1412096,0,13,13,5,5,105,104.0088059,131.0265,5.78000021,4.984767858
2/13/2019,ALLS-1039,1003515,1,5/21/2014,2014,PROB,Y,0.158030705,1.604426033,3,38.40635837,2400367,0,0,74.49,103.9374872,137.48,74.49,848.9678413,312.5128203,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",100,rl,rl,100,SDMNTRY,SDMNTRY,0.238000005,0.274981189,31.65538821,-86.71585164,81,81.39107443,72.446,17.51898933,17.21835296,1.09545,19.80487046,19.80487046,11.08782522,11.08782522,0.813031069,0.133405529,50.00823975,0.645054971,14.30499643,1.876309532,5.862780642,0.112217592,0,6.999866594,0.343715422,8.4853764,0.038452182,0.582275898,0.236206261,4.535787995,5.835314798,4,10.95036641,2.82848432,171.3598475,71.88300093,1438.821262,1505,1485.752758,1661.117188,1726.431968,1733.079956,1773.501184,1.650503644,60,59.1991693,2400367,70,70,500.9600326,33.05004579,18.18675623,11.16176605,10.90968184,8.123957634,7.897086263,25.92758369,25.83488158,25.92758369,25.83488158,18.09971809,17.96327173,17.60410309,17.9523045,2.400000095,2.81492383,498.4695576,0.869565217,13,12.55712649,5,4.98970609,101,101.0526386,114.7086,3.460000038,4.967628541
2/13/2019,ALLS-1041,1003654,1,6/12/2014,2014,PROB,Y,0.163791081,1.564301502,3.231968483,39.83518063,18522613,0,6.60E-05,0.11,154.0204771,1283.72,0.11,818.5316928,304.0867563,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",99.99078985,rl,rl,99.98566115,SDMNTRY,QTRNRY,,0.276083515,30.69484746,-87.9243461,59,89.60388264,145.456,17.51908068,17.29239486,0.71831,20.78452506,20.78452506,10.04798013,10.04798013,0.875203251,0.297129148,18.62118064,3.596066782,26.14877499,3.943447719,11.48287555,0.462197687,0,8.089344663,1.870922559,10.09109441,0.210426757,1.643312933,0.605918444,5.24286171,7.694446014,5.32534458,7.464557697,3.035919839,164.748813,81.06752161,1402.321063,1710,1456.150403,1770.186279,1606.180977,2182.263428,1622.889495,1.68958453,,54.23073386,18522613,73,69.60971903,577.8920193,32.57127633,16.86041128,12.60564518,8.946916786,9.58792305,5.843012611,26.66729927,24.91212656,26.66729927,24.91212656,19.16675758,16.45109995,18.48085403,16.4510999,5,0.199062916,456.4889368,0,13,10.26717505,5,5.199097025,107,98.06417838,112151.232,,4.935233751
2/13/2019,ALLS-1042,1003533,1,5/23/2014,2014,PROB,Y,0.16107935,1.509882867,4,51.59251603,22035065,0,4.90E-05,206.03,295.1939444,477.29,203.85,797.6702299,302.4952279,Stony colluvium on metamorphic rocks; less silt and clay than in co/ls,100,co/m,co/m,100,SDMNTRY,SDMNTRY,0.279000014,0.274384501,33.09740851,-85.8458704,93,95.57199647,179.363,15.23286543,15.06986538,1.30322,18.73794503,18.73794503,10.56347815,10.56347815,0.655736318,0.362971387,25.62301446,0,43.57419654,6.898876171,10.86217804,0.006913741,0,0.681694834,0.270672949,6.027744841,0.066371911,0.155213479,0.159361723,4.106761984,1.204027945,5.505342482,4.808054341,4.383595752,172.6220578,81.39356344,1418.448888,1429,1460.773314,1283.169067,1330.708411,1605.837769,1795.974902,1.479554837,50,50.67872431,22035065,68,68.73960973,533.8597335,31.5161383,16.07141643,9.041357994,8.653910762,6.364076138,5.875248626,24.76418686,24.06903389,24.76418686,24.06903389,16.58078575,15.97935159,16.34521675,15.97806659,-0.200000003,-0.826038338,369.3800474,0,11,11,5,4.952811242,102,102.2493493,260.3565,5.789999962,5.408513539
2/13/2019,ALR9-0901,1003111,2,9/17/2013,2013,PROB,N,0.160831072,1.5232953,2.972726707,34.74603521,19598502,31.64483261,0.135513,172.05,288.4620352,639.43,170.74,764.7022973,292.2442086,"Red clay, massive clay that is generally kaolinitic",100,rls,rls,100,SDMNTRY,SDMNTRY,0.312218815,0.277389267,34.95092177,-87.042028,99,102.5788279,3313.956,15.34891811,15.27759636,1.16241,19.58521503,19.58521503,9.776270562,9.776270562,0.754988768,0.109290337,2.986159567,8.262883602,37.87183823,1.833222683,33.57537949,0.073668947,0,3.456234025,1.351318311,2.855052539,0.10754124,1.071876593,0.363924973,5.16412358,0.91748589,4.239051575,4.584604069,3.058244713,161.5667272,87.42844921,1449.034077,1474,1469.331184,1527.812378,1573.721182,1399.043091,1475.533119,1.713431601,60,57.213806,19598502,71,70.45920017,665.6363382,31.20634843,14.75025395,7.179161072,6.179651823,3.565023422,2.557559955,24.0000515,23.16615881,24.0000515,23.16615881,15.04642677,14.12344665,14.86561108,14.1234351,-1.600000024,-1.70360129,416.0294321,0,10,10.99712865,6,6.817369625,104,111.7946221,4785.6267,4.196871758,5.533846446
2/13/2019,ALR9-0901,1002621,1,8/5/2013,2013,PROB,Y,0.160831072,1.5232953,2.972726707,34.74603521,19598502,31.64483261,0.135513,172.05,288.4620352,639.43,170.74,764.7022973,292.2442086,"Red clay, massive clay that is generally kaolinitic",100,rls,rls,100,SDMNTRY,SDMNTRY,0.312218815,0.277389267,34.95092177,-87.042028,99,102.5788279,3313.956,15.34891811,15.27759636,1.16241,19.58521503,19.58521503,9.776270562,9.776270562,0.754988768,0.109290337,2.986159567,8.262883602,37.87183823,1.833222683,33.57537949,0.073668947,0,3.456234025,1.351318311,2.855052539,0.10754124,1.071876593,0.363924973,5.16412358,0.91748589,4.239051575,4.584604069,3.058244713,161.5667272,87.42844921,1449.034077,1474,1469.331184,1527.812378,1573.721182,1399.043091,1475.533119,1.713431601,60,57.213806,19598502,71,70.45920017,665.6363382,31.20634843,14.75025395,7.179161072,6.179651823,3.565023422,2.557559955,24.0000515,23.16615881,24.0000515,23.16615881,15.04642677,14.12344665,14.86561108,14.1234351,-1.600000024,-1.70360129,416.0294321,0,10,10.99712865,6,6.817369625,104,111.7946221,4785.6267,4.196871758,5.533846446
2/13/2019,ALR9-0902,1003673,2,6/14/2014,2014,PROB,N,0.148517489,1.603847857,3.107331743,43.84587675,21717668,2.961672474,0.004244,66.93,137.0394235,252.51,65.43,809.7620836,310.445685,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",100,rs,rgr,100,SDMNTRY,SDMNTRY,0.280999988,0.261191485,32.48594217,-85.72031495,83,80.9153578,447.852,17.36488816,17.28851432,1.46541,20.60053692,20.60053692,11.23082839,11.23082839,1.040030216,0.582318016,17.44018072,4.327686052,21.7487488,2.03187045,8.854355144,0.542228786,0,13.01241791,0.879036844,13.44998552,0.398258703,2.852187789,1.182876144,6.32746561,6.37038352,5.213536861,6.23816166,3.99666766,161.8177911,72.79678322,1318.134105,1383,1366.69219,1183.198242,1329.883628,1607.487671,1679.058568,1.67515193,60,59.28346176,21717668,70,69.69055762,455.9221527,32.5890134,17.5461318,10.25618267,10.24116083,7.476058483,7.387618984,25.47023201,25.13740925,25.47023201,25.13740925,17.4969883,17.29772796,17.23218727,17.29684144,1.700000048,1.376027567,459.8963837,1.132404181,11,11.38187607,5,5.401136964,98,99.52152195,922.6674,3.819999933,5.385089841
2/13/2019,ALR9-0902,1003534,1,5/22/2014,2014,PROB,Y,0.148517489,1.603847857,3.107331743,43.84587675,21717668,2.961672474,0.004244,66.93,137.0394235,252.51,65.43,809.7620836,310.445685,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",100,rs,rgr,100,SDMNTRY,SDMNTRY,0.280999988,0.261191485,32.48594217,-85.72031495,83,80.9153578,447.852,17.36488816,17.28851432,1.46541,20.60053692,20.60053692,11.23082839,11.23082839,1.040030216,0.582318016,17.44018072,4.327686052,21.7487488,2.03187045,8.854355144,0.542228786,0,13.01241791,0.879036844,13.44998552,0.398258703,2.852187789,1.182876144,6.32746561,6.37038352,5.213536861,6.23816166,3.99666766,161.8177911,72.79678322,1318.134105,1383,1366.69219,1183.198242,1329.883628,1607.487671,1679.058568,1.67515193,60,59.28346176,21717668,70,69.69055762,455.9221527,32.5890134,17.5461318,10.25618267,10.24116083,7.476058483,7.387618984,25.47023201,25.13740925,25.47023201,25.13740925,17.4969883,17.29772796,17.23218727,17.29684144,1.700000048,1.376027567,459.8963837,1.132404181,11,11.38187607,5,5.401136964,98,99.52152195,922.6674,3.819999933,5.385089841
2/13/2019,ALR9-0903,1003817,1,6/27/2014,2014,PROB,Y,0.153441637,1.62089468,4.114793408,48.3083516,2413396,2.098513553,0.000184,18.21,85.51686616,174.97,18.21,875.6947921,310.5898731,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",100,rl,rl,100,SDMNTRY,SDMNTRY,0.238000005,0.236572549,31.08686327,-87.08175172,83,79.54792304,1123.86,17.28444054,16.90190994,1.49195,20.58721779,20.58721779,11.27939828,11.27939828,0.836068618,0.234274035,35.68280121,3.086986919,13.78420027,6.295236577,7.719725294,0.197031042,0,10.89301783,0.400027653,12.77512703,0.062833612,0.534002072,0.174897108,3.151325862,5.008513481,4.070012271,5.133520511,4.02834836,181.1831164,76.81657641,1580.227816,1710,1639.82007,1691.022705,1766.83984,1747.155884,1652.254411,1.306199128,60,59.91213108,2413396,69,69.92047588,571.5082756,33.06565722,18.46618908,12.28584099,11.77807552,9.141178131,8.631386948,26.20519638,26.13107397,26.20519638,26.13107397,18.7302742,18.50510314,18.03290558,18.50398008,2.200000048,2.457603436,461.820362,5.916642378,13,11.39657805,5,4.385168402,101,91.68766771,1614.2913,3.460000038,5.036537207
2/13/2019,ALR9-0904,1002177,1,6/25/2013,2013,PROB,Y,0.160331645,1.570868249,5,37.48402264,21656490,0,0.02769,121.32,226.3868454,458.65,120.92,787.9140706,302.1881346,"Red clay, massive clay that is generally kaolinitic",100,rls,co/m,100,SDMNTRY,SDMNTRY,0.291999996,0.276702745,33.41281268,-86.75189943,92,94.9936473,308.116,16.40202972,16.20096375,1.47015,19.25509877,19.25509877,10.16168073,10.16168073,0.845161551,0.807467017,10.17442656,0.532894017,41.18731866,3.498282422,5.621475885,0.010777632,0,4.957881699,1.523922921,3.67602781,0.752381343,8.898560245,3.879776373,13.71051623,0.768291181,5.123523436,7.825555925,2.568336982,162.1457297,85.85551145,1426.093601,1447,1444.525273,1684.793945,1687.248768,1715.345093,1835.838867,3.777687107,40.36000061,45.97027608,21656490,69,69.18699924,573.8750032,32.11830015,16.63434781,9.191890717,8.563526417,6.125763416,5.488753563,25.21865273,24.8146681,25.21865273,24.8146681,16.78590584,16.279427,16.65628052,16.27909839,0,-0.131323894,361.4763758,28.70883124,10,10.04756759,5,5.862386574,99,98.70934808,527.1615,5.869999886,5.701610709
