PUBLICATION_DATE,UID,SITETYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,SAMPLE_TYPE,LAB,MATRIX,SAM_CODE,CHLA_BATCH_ID,CHLA_DATE_ANALYZED,CHLA_DATE_FILTERED,CHLA_DATE_PROCESSED,CHLA_DATE_RECEIVED,CHLA_DILUTION_FACTOR,CHLA_EXTRACT,CHLA_EXTRACT_UNITS,CHLA_HOLD_TIME_FLAG,CHLA_HOLDING_TIME,CHLA_HOLDING_TIME_UNITS,CHLA_LAB_SAMPLE_ID,CHLA_MDL,CHLA_MDL_UNITS,CHLA_NARS_FLAG,CHLA_QA_FLAG,CHLA_RESULT,CHLA_RESULT_UNITS,CHLA_RL,CHLA_RL_UNITS,CHLA_SAMPLE_ID,CHLA_SAMPLEVOL,CHLA_SAMPLEVOL_UNITS,CHLA_SHIP_FLAG,CHLA_VOLUME_ADJUST,CHLA_VOLUME_FILTERED,CHLA_VOLUME_FILTERED_UNITS,SAMPLE_CAT
4/23/2019,1002013,PROB,KSRS-1288,4/30/2013,1,KS,39.12843,-95.65402,Temperate Plains,Y,WCHL,WRS,WATER,REGULAR,130510.1,5/10/2013,,,5/2/2013,,21.5,UG/L,,10,DAYS,1310001,,,,,1.72,UG/L,,,703581,,,,,500,ML,P         
4/23/2019,1002014,PROB,AZR9-0903,5/6/2013,1,AZ,32.40882,-111.1606,Xeric,Y,WCHL,WRS,WATER,REGULAR,130510.1,5/10/2013,,,5/8/2013,,38.1,UG/L,,4,DAYS,1310003,,,,,6.096,UG/L,,,703441,,,,,250,ML,P         
4/23/2019,1002015,PROB,AZSS-1115,5/7/2013,1,AZ,34.33749,-111.0138,Western Mountains,Y,WCHL,WRS,WATER,REGULAR,130510.1,5/10/2013,,,5/9/2013,,8.15,UG/L,,3,DAYS,1310004,,,,,0.652,UG/L,,,703501,,,,,500,ML,P         
4/23/2019,1002016,PROB,KSR9-0910,5/6/2013,1,KS,39.49523,-97.2319,Southern Plains,Y,WCHL,WRS,WATER,REGULAR,130510.1,5/10/2013,,,5/8/2013,,340,UG/L,,4,DAYS,1310002,,,,,54.4,UG/L,,,703601,,,,,250,ML,P         
4/23/2019,1002017,PROB,AZLS-1055,5/8/2013,1,AZ,34.86995,-112.0693,Western Mountains,Y,WCHL,WRS,WATER,REGULAR,130529.1,5/29/2013,,,5/10/2013,,12.5,UG/L,,21,DAYS,1310005,,,,,1,UG/L,,,703481,,,,,500,ML,P         
4/23/2019,1002018,PROB,KSRS-1270,5/13/2013,1,KS,37.17128,-96.84909,Temperate Plains,Y,WCHL,WRS,WATER,REGULAR,130529.1,5/29/2013,,,5/15/2013,,37.8,UG/L,,16,DAYS,1310006,,,,,3.024,UG/L,,,703661,,,,,500,ML,P         
4/23/2019,1002019,PROB,KSS9-0933,5/14/2013,1,KS,37.84409,-96.85665,Temperate Plains,Y,WCHL,WRS,WATER,REGULAR,130529.1,5/29/2013,,,5/16/2013,,24.3,UG/L,,15,DAYS,1310007,,,,,3.888,UG/L,,,703561,,,,,250,ML,P         
4/23/2019,1002020,PROB,AZR9-0903,5/20/2013,2,AZ,32.40882,-111.1606,Xeric,N,WCHL,WRS,WATER,REGULAR,130529.1,5/29/2013,,,5/24/2013,,50.8,UG/L,,9,DAYS,1310008,,,,,8.128,UG/L,,,704161,,,ship flag,,250,ML,P         
4/23/2019,1002021,PROB,KYRM-1006,5/21/2013,1,KY,38.51354,-85.02908,Southern Appalachians,Y,WCHL,WRS,WATER,REGULAR,130529.1,5/29/2013,,,5/23/2013,,3.01,UG/L,,8,DAYS,1310009,,,,,0.4816,UG/L,,,705361,,,,,250,ML,P         
4/23/2019,1002022,PROB,KSR9-0902,5/21/2013,1,KS,37.8236,-97.46279,Southern Plains,Y,WCHL,WRS,WATER,REGULAR,130605.1,6/5/2013,,,5/23/2013,,105,UG/L,,15,DAYS,1310012,,,,,16.8,UG/L,,,708001,,,,,250,ML,P         
4/23/2019,1002023,PROB,KYRM-1002,5/22/2013,1,KY,38.68588,-85.17831,Southern Appalachians,Y,WCHL,WRS,WATER,REGULAR,130529.1,5/29/2013,,,5/23/2013,,24.5,UG/L,,7,DAYS,1310010,,,,,3.92,UG/L,,,705381,,,,,250,ML,P         
4/23/2019,1002024,PROB,GAS9-0921,5/21/2013,1,GA,34.42898,-82.90528,Southern Appalachians,Y,WCHL,WRS,WATER,REGULAR,130605.1,6/5/2013,,,5/23/2013,,7.88,UG/L,,15,DAYS,1310011,,,,,0.6304,UG/L,,,704921,,,,,500,ML,P         
4/23/2019,1002025,PROB,GAS9-0915,5/23/2013,1,GA,33.92673,-85.05046,Southern Appalachians,Y,WCHL,WRS,WATER,REGULAR,130605.1,6/5/2013,,,5/25/2013,,6.58,UG/L,,13,DAYS,1310013,,,,,1.0528,UG/L,,,704941,,,,,250,ML,P         
