"","ECO_REG_NAME","year","meanlogNP","meanlogDINP","medianlogDINP","meanNP","meanDINP","medianDINP","percentile25TN_PPM","percentile25TP_PPB","percentile25DIN_PPM","percentile75TN_PPM","percentile75TP_PPB","percentile75DIN_PPM","TP_threshold","TN_threshold","DIN_threshold"
"1","Northern Appalachians","2007",4.33174257163583,1.82585210722045,1.70987398615325,108.488813177641,21.5367954422595,5.52826479581639,0.1975,4.75,0.01,0.286,11,0.024,7.875,0.24175,0.017
"2","Northern Appalachians","2017",4.06885306038515,0.819814297160894,0.731843940124088,63.8406514877253,4.17507387430689,2.07893500059392,0.24975,7.9965625,0.008,0.36275,13.6621875,0.0106,10.829375,0.30625,0.0093
"3","Southern Appalachians","2007",3.92445586906574,1.41825264611302,1.20529375959953,96.3560190209858,38.0731588238684,3.3394721730384,0.240625,7.375,0.01,0.321,10,0.022,8.6875,0.2808125,0.016
"4","Southern Appalachians","2017",3.82657743866752,0.796930267503737,0.581578431991211,67.0662870618892,15.9817336257112,1.78885979702832,0.2385,9.569375,0.007,0.263,16.374375,0.0085,12.971875,0.25075,0.00775
"5","Coastal Plains","2007",3.54815449928604,0.334180663567989,0.16720177003141,43.776446031888,4.41807280273053,1.18199566348645,0.4805,28.25,0.016625,0.893,36,0.018,32.125,0.68675,0.0173125
"6","Coastal Plains","2017",3.49196711848962,-0.0116347945915721,-0.305349495856265,47.0214522159078,6.18377591677412,0.736865797840312,0.494,24.72715,0.01,0.518,24.72715,0.013,24.72715,0.506,0.0115
"7","Temperate Plains","2007",3.52109349215916,0.281293965514271,0.154438847242084,46.1438551439624,6.34080437618107,1.16705613889252,0.74825,33.75,0.021,1.224,80.5,0.13775,57.125,0.986125,0.079375
"8","Temperate Plains","2017",3.56979384797692,0.118857835535598,0.0286969826072757,46.8544596042787,7.11913018355578,1.03007343625483,0.79525,35.1,0.015225,1.3075,46.309375,0.0221,40.7046875,1.051375,0.0186625
"9","Upper Midwest","2007",4.59168312560374,1.61811797564281,1.48673043483904,132.496607327212,17.8088637316698,4.42261183665309,0.492,8,0.017,0.8035,9.5,0.039,8.75,0.64775,0.028
"10","Upper Midwest","2017",4.34182629123773,0.975576442968829,0.762979029685563,91.5673062868347,14.1011198512855,2.14465570645468,0.5105,12.719375,0.011,1.694,40.5865625,0.649225,26.65296875,1.10225,0.3301125
"11","Northern Plains","2007",3.45208853533586,0.29089004057731,0.524374336121639,48.8579262381666,4.43228678358763,1.68940152014034,1.4115,61,0.04275,NA,NA,NA,61,1.4115,0.04275
"12","Northern Plains","2017",3.59183822681034,0.147799663713155,0.0772233641202432,76.3552680064891,30.0460488725051,1.08334329939601,1.13575,40.3789375,0.019425,1.246,161.17,0.03,100.77446875,1.190875,0.0247125
"13","Southern Plains","2007",3.41772599844523,0.379678724973477,0.505901181827312,41.3686673968106,3.60761210346419,1.65847943874491,0.557,24,0.019,7.14125,533.75,0.06325,278.875,3.849125,0.041125
"14","Southern Plains","2017",3.42116567026993,-0.0706740958922385,-0.0200005779793186,38.4260003625282,2.09094697451271,0.980199661314728,0.57975,23.595,0.012,1.333,48.684375,0.0616,36.1396875,0.956375,0.0368
"15","Xeric","2007",3.3748042130852,0.840188640383018,0.891221723843011,78.379918845241,29.0534733648837,2.4381065253344,0.339,15,0.018,1.0155,48.25,0.01525,31.625,0.67725,0.016625
"16","Xeric","2017",3.37771510031112,0.602563765201637,0.376933002030207,44.4377935270288,6.11167380071995,1.4586180573921,0.3915,17.81625,0.013,0.252,21.5065625,0.0159,19.66140625,0.32175,0.01445
"17","Western Mountains","2007",3.86052561041583,1.50844019211358,1.40178091644134,71.6952893503956,15.1625892106782,4.06327462492505,0.1335,4,0.01,0.18075,4,0.01,4,0.157125,0.01
"18","Western Mountains","2017",3.49932949373239,0.485369174568323,0.400359432593282,46.1142346679705,4.9505051018948,1.49236100443836,0.169,8.79125,0.008,0.228,14.701875,0.0169,11.7465625,0.1985,0.01245
