"","ECO_REG_NAME","year","meanlogNP","meanlogDINP","medianlogDINP","meanNP","meanDINP","medianDINP","percentile25TN_PPM","percentile25TP_PPB","percentile25DIN_PPM","percentile75TN_PPM","percentile75TP_PPB","percentile75DIN_PPM","TP_threshold","TN_threshold","DIN_threshold"
"1","Northern Appalachians","2007",4.33174257163583,1.82585210722045,1.70987398615325,108.488813177641,21.5367954422595,5.52826479581639,0.1975,4.75,0.01,0.40225,14.5,0.02475,9.625,0.299875,0.017375
"2","Northern Appalachians","2012",3.82924925215382,1.27802001809962,1.06036580964683,53.1401342118849,7.74497291601403,2.88759697834808,0.2595,10,0.0116,0.4,15,0.06,12.5,0.32975,0.0358
"3","Southern Appalachians","2007",3.92445586906574,1.41825264611302,1.20529375959953,96.3560190209858,38.0731588238684,3.3394721730384,0.240625,7.375,0.01,0.3155,14.25,0.022,10.8125,0.2780625,0.016
"4","Southern Appalachians","2012",3.41953040522558,0.562853386404519,0.278352315672029,44.416531330905,11.3242961676026,1.32096432489507,0.2565,15,0.009175,0.4525,30.75,0.05175,22.875,0.3545,0.0304625
"5","Coastal Plains","2007",3.54815449928604,0.334180663567989,0.16720177003141,43.776446031888,4.41807280273053,1.18199566348645,0.4805,28.25,0.016625,0.59825,25.5,0.01675,26.875,0.539375,0.0166875
"6","Coastal Plains","2012",3.39757448880513,-0.0201739357618867,-0.30502903438901,48.4835899001592,15.4607123881512,0.73710197277552,0.5145,32.5,0.01095,0.71175,41.25,0.023,36.875,0.613125,0.016975
"7","Temperate Plains","2007",3.52109349215916,0.281293965514271,0.154438847242084,46.1438551439624,6.34080437618107,1.16705613889252,0.74825,33.75,0.021,0.474,24,0.041,28.875,0.611125,0.031
"8","Temperate Plains","2012",3.3563950698828,-0.344265591863895,-0.58792638133272,36.1195064822224,4.05710408555107,0.555484299195011,0.7035,45,0.014,1.23625,65.5,0.0275,55.25,0.969875,0.02075
"9","Upper Midwest","2007",4.59168312560374,1.61811797564281,1.48673043483904,132.496607327212,17.8088637316698,4.42261183665309,0.492,8,0.017,0.722,16,0.029,12,0.607,0.023
"10","Upper Midwest","2012",3.92122095679077,0.402862803630372,0.267490158382317,59.8082278746561,7.16120713136127,1.30668076992024,0.54,21,0.0117,0.727,37.5,0.02,29.25,0.6335,0.01585
"11","Northern Plains","2007",3.45208853533586,0.29089004057731,0.524374336121639,48.8579262381666,4.43228678358763,1.68940152014034,1.4115,61,0.04275,0.50125,58.75,0.08,59.875,0.956375,0.061375
"12","Northern Plains","2012",3.24807140424778,-0.462393261744566,-0.435999794816611,84.0161383872646,50.9857642673084,0.646977101544683,1.1805,63,0.02175,0.8745,69,0.0636,66,1.0275,0.042675
"13","Southern Plains","2007",3.41772599844523,0.379678724973477,0.505901181827312,41.3686673968106,3.60761210346419,1.65847943874491,0.557,24,0.019,6.3465,478.5,0.123,251.25,3.45175,0.071
"14","Southern Plains","2012",3.32781502658345,0.085632307580624,-0.0827323537060845,43.7922508735997,5.32322477893829,0.921133832504837,0.66825,44.25,0.02125,7.93125,462,0.0525,253.125,4.29975,0.036875
"15","Xeric","2007",3.3748042130852,0.840188640383018,0.891221723843011,78.379918845241,29.0534733648837,2.4381065253344,0.339,15,0.018,0.641,19,0.039,17,0.49,0.0285
"16","Xeric","2012",2.86510490875238,-0.131871154107415,-0.134794626236166,23.4806274068828,2.30467188946132,0.87389595445079,0.30575,30,0.01005,0.5445,74.75,0.044925,52.375,0.425125,0.0274875
"17","Western Mountains","2007",3.86052561041583,1.50844019211358,1.40178091644134,71.6952893503956,15.1625892106782,4.06327462492505,0.1335,4,0.01,0.2865,13.625,0.0335,8.8125,0.21,0.02175
"18","Western Mountains","2012",2.91151583360049,0.13786862383409,0.0244501667412277,29.9754518383894,3.35946782600856,1.02475152312694,0.1325,16,0.0074,0.22,36.25,0.02655,26.125,0.17625,0.016975
